Entity,Code,Year,GDP,Cantril ladder score
Afghanistan,AFG,2018,2033.8044,3.2033,3.2033
Albania,ALB,2018,13317.093,4.7186,4.7186
Algeria,DZA,2018,11630.68,5.2113
Denmark,DNK,2018,56178.773,7.6001
Argentina,ARG,2018,22747.242,6.0863
Armenia,ARM,2018,12715.109,4.5594
Australia,AUS,2018,49029.105,7.228
Austria,AUT,2018,55258.37,7.246
Azerbaijan,AZE,2018,14209.593,5.2077
Ecuador,ECU,2018,11561.748,6.0276
Bangladesh,BGD,2018,4440.856,4.4558
Egypt,EGY,2018,11366.336,4.1655
Belarus,BLR,2018,18974.7,5.3225
Belgium,BEL,2018,51126.668,6.923
El Salvador,SLV,2018,8615.689,6.2531
Benin,BEN,2018,3160.7808,4.8832
Estonia,EST,2018,35097.703,5.8935
Bhutan,BTN,2018,11348.442,5.0821
Bolivia,BOL,2018,8655.531,5.7793
Botswana,BWA,2018,16222.407,3.4884
Brazil,BRA,2018,14668.256,6.2998
Finland,FIN,2018,48049.582,7.8042
Bulgaria,BGR,2018,22206.09,5.011
Burkina Faso,BFA,2018,2117.814,4.5868
Burundi,BDI,2018,761.5241,3.7753
Cambodia,KHM,2018,4159.3384,4.6998
Cameroon,CMR,2018,3711.8503,5.0437
Canada,CAN,2018,48962.48,7.2781
France,FRA,2018,45284.004,6.5921
Gabon,GAB,2018,14743.698,4.7992
Central African Republic,CAF,2018,933.1099,3.083
Chile,CHL,2018,25028.91,6.444
China,CHN,2018,15133.996,5.1909
Colombia,COL,2018,14314.855,6.1248
Congo,COG,2018,3928.428,4.8115
Costa Rica,CRI,2018,20672.615,7.1674
Croatia,HRV,2018,28192.328,5.4318
Georgia,GEO,2018,14253.409,4.5191
Czechia,CZE,2018,39932.992,6.8521
